phi,seed,Theta_NM,Theta_sum,Theta_shape,B_rms,S_pred,du_rms,du_max,U_overlap,max_overlap,valid_torus,degree_radius_corr,regime
8.19999999999999951e-01,1,1.34922109522863598e-01,7.81238594184651275e-02,1.26705125184160494e-01,5.84693807271971067e-01,1.31442948733642623e+02,1.55614975821214030e-01,5.79293130187929384e-01,5.20615475908616877e-13,1.40848082530453667e-07,1,7.97791651969986915e-01,high_sum_high_shape
8.29999999999999960e-01,1,1.29096023688472644e-01,7.90202178063948990e-02,1.25623780324956413e-01,5.77944978761472106e-01,1.16084815983786257e+02,1.56365366894359370e-01,5.06351037873678078e-01,1.70913244655376736e-08,2.67736119750061619e-05,1,7.96798373179257280e-01,high_sum_high_shape
8.39999999999999969e-01,1,1.17711664606661479e-01,7.69842835349724697e-02,1.12972730581863773e-01,5.71567107171601418e-01,1.34141486822764506e+02,1.59543086343499174e-01,5.78695665869649822e-01,1.14177070937383318e-03,6.39231430792319699e-03,1,7.93481029055284837e-01,high_sum_high_shape
8.49999999999999978e-01,1,1.16955105657169600e-01,7.27170929188134391e-02,1.18236318795481063e-01,5.31196267368919894e-01,1.10340431487315300e+02,1.47285086324336012e-01,5.08438769355712195e-01,3.81299993985880839e-02,3.59420222948365620e-02,1,8.13879107743240238e-01,high_sum_high_shape
8.59999999999999987e-01,1,1.09811632552108449e-01,7.51093394837268891e-02,1.05653489470687895e-01,5.61788609130596250e-01,1.42910502607328112e+02,1.48714307843982513e-01,6.45648845697629148e-01,6.28189704941454902e-02,4.21033691571564006e-02,1,7.99911670542753583e-01,high_sum_high_shape
8.69999999999999996e-01,1,1.04803098521200580e-01,6.66890337996716570e-02,1.07523439748351005e-01,4.82465645988520431e-01,1.13011159206068442e+02,1.30184945156859744e-01,5.69836829049022442e-01,1.62146751394369515e-01,7.18525678551173996e-02,1,8.42049831980846708e-01,high_sum_high_shape
8.80000000000000004e-01,1,1.05579044209911987e-01,6.68374014332569072e-02,1.07358583749862874e-01,4.74019604912688242e-01,7.42674050261668555e+01,1.28353766295628946e-01,3.69400859530326142e-01,3.56446205698715601e-01,1.13860180012907541e-01,1,8.37471888014210242e-01,high_sum_high_shape
8.90000000000000013e-01,1,9.65338446866399053e-02,7.03066972773365439e-02,9.71892499704234136e-02,5.00124385901545399e-01,9.37065811933065902e+01,1.32330521145643282e-01,4.71383811101299344e-01,4.96207489313397032e-01,1.09979790745507788e-01,1,8.35873664850213083e-01,high_sum_high_shape
9.00000000000000022e-01,1,9.75109534957897123e-02,7.02156920171380650e-02,9.78401848921778422e-02,5.05021092231111246e-01,9.23429666633619775e+01,1.37179157354515330e-01,4.47896006810355629e-01,8.82053720155854371e-01,1.57787431128758371e-01,1,8.38070031401942583e-01,high_sum_high_shape
9.10000000000000031e-01,1,9.39559496893293544e-02,6.00534973459529650e-02,9.25838439453920137e-02,4.41428924383339638e-01,7.74081253450682141e+01,1.19376858225766491e-01,4.20138979152911041e-01,1.22673975804070912e+00,1.82158748933508807e-01,1,8.56077320796117980e-01,high_sum_high_shape
9.20000000000000040e-01,1,8.83542742953133259e-02,5.91957378870043016e-02,8.76909120528016478e-02,4.29761763522731488e-01,1.10783093808253398e+02,1.19582010560268084e-01,5.85795572112699725e-01,1.54459029749608767e+00,1.78974267872449300e-01,1,8.67204461338978327e-01,high_sum_high_shape
8.19999999999999951e-01,2,1.43338857065995751e-01,8.86586296345312913e-02,1.33279012667212898e-01,6.56312275847254045e-01,2.76664180234656385e+02,1.76199059902134247e-01,9.92546589594623940e-01,3.13324860675353469e-13,1.24056091621582709e-07,1,7.61402426988248338e-01,high_sum_high_shape
8.29999999999999960e-01,2,1.32373595783336379e-01,7.57063615271185708e-02,1.29271100392980148e-01,5.55601248209772636e-01,1.17092109526188153e+02,1.49590781946891516e-01,5.33206194745120765e-01,6.47657349903333741e-13,1.71279143756919439e-07,1,7.96976169350861352e-01,high_sum_high_shape
8.39999999999999969e-01,2,1.15710729931745304e-01,6.64385249963383023e-02,1.15448689962670409e-01,4.80623052892109826e-01,8.20991884611934921e+01,1.35026861880479909e-01,3.94724164865051852e-01,1.04414616962769330e-06,2.10961630791484112e-04,1,8.34662839293465297e-01,high_sum_high_shape
8.49999999999999978e-01,2,1.15764109375045290e-01,7.00729211101836502e-02,1.15309208005336755e-01,5.25682234594905928e-01,1.20922621796041426e+02,1.49889215338282256e-01,5.50276599887729256e-01,2.40765079627195989e-02,2.29019766746692000e-02,1,8.15600307085967424e-01,high_sum_high_shape
8.59999999999999987e-01,2,1.13559578080744586e-01,7.35219719289110368e-02,1.13844499019329845e-01,5.36287777780822927e-01,1.05677456112844652e+02,1.45750078229015617e-01,4.90439065746148539e-01,5.97256595391888676e-02,4.08137020903529546e-02,1,7.96771601751285141e-01,high_sum_high_shape
8.69999999999999996e-01,2,1.07076982929434281e-01,7.33009618861064222e-02,1.05564855285610562e-01,5.48557765568303601e-01,1.00108974509131372e+02,1.45635449466073652e-01,4.61388269715204635e-01,1.99609412697049460e-01,7.57894753245929031e-02,1,8.15327678962484703e-01,high_sum_high_shape
8.80000000000000004e-01,2,1.01397818743526977e-01,6.90163820426273195e-02,1.03653056581122019e-01,4.99743511029901444e-01,1.03137127973526873e+02,1.39029917268195802e-01,4.98514954354615902e-01,3.38913375208378165e-01,9.04190843332486338e-02,1,8.10250144925787619e-01,high_sum_high_shape
8.90000000000000013e-01,2,1.00728832338040808e-01,6.56972324136474717e-02,1.00019402431830037e-01,4.76942372241158263e-01,8.26530617981457283e+01,1.29446668011695937e-01,4.18222786981842176e-01,5.73705642958674100e-01,1.17394778740514294e-01,1,8.28500799096569818e-01,high_sum_high_shape
