cycle,block_name,Delta_Theta_sum,Delta_Theta_shape,Delta_Theta_NM,Delta_B_rms,Delta_du_rms,Delta_U_overlap,accepted
1,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
1,ricci,-7.29138708578525030e-03,-6.16581321353060208e-04,-2.60880428725307478e-03,-5.43214469219084894e-02,-1.21328509086034153e-02,1.35822045341965139e-02,1
2,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
2,ricci,-7.29138708578525030e-03,-6.16581321353060208e-04,-2.60880428725307478e-03,-5.43214469219084894e-02,-1.21328509086034153e-02,1.35822045341965139e-02,1
3,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
3,ricci,-7.29138708578525030e-03,-6.16581321353060208e-04,-2.60880428725307478e-03,-5.43214469219084894e-02,-1.21328509086034153e-02,1.35822045341965139e-02,1
4,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
4,ricci,-7.29138708578525030e-03,-6.16581321353060208e-04,-2.60880428725307478e-03,-5.43214469219084894e-02,-1.21328509086034153e-02,1.35822045341965139e-02,1
5,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
5,ricci,-7.29138708578525030e-03,-6.16581321353060208e-04,-2.60880428725307478e-03,-5.43214469219084894e-02,-1.21328509086034153e-02,1.35822045341965139e-02,1
5,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
6,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
6,ricci,-7.29138708578525030e-03,-6.16581321353060208e-04,-2.60880428725307478e-03,-5.43214469219084894e-02,-1.21328509086034153e-02,1.35822045341965139e-02,1
7,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
