run_name,n_files,Theta_sum_initial,Theta_sum_final,Theta_shape_initial,Theta_shape_final,Theta_NM_initial,Theta_NM_final,B_rms_initial,B_rms_final,du_rms_initial,du_rms_final,U_initial,U_final,D_net,zigzag_index,diagonal_improvement,F_total,Theta_NM,Theta_sum,Theta_shape,Theta_face,Theta_ring,B_rms,B_max,S_pred,du_rms,du_max,rms_K_lin,max_K_lin,U_overlap,max_overlap,radius_ratio,polydispersity_delta,degree_radius_corr,valid_torus,lc_D_net,lc_total_path_length,lc_net_displacement,lc_zigzag_index,lc_sign_reversals_sum,lc_sign_reversals_shape,n_cycles,n_accepted,F_total_initial,F_total_final,U_overlap_initial,U_overlap_final,radius_ratio_initial,radius_ratio_final,has_operator_response_matrix,orm_total_rows,orm_n_shape,orm_n_ricci,orm_n_box,orm_n_surgery_microquench,n_block_accepted,n_block_total,block_acceptance_rate,orm_shape_mean_Delta_Theta_sum,orm_ricci_mean_Delta_Theta_sum,orm_box_mean_Delta_Theta_sum,orm_surgery_microquench_mean_Delta_Theta_sum,orm_shape_mean_Delta_Theta_shape,orm_ricci_mean_Delta_Theta_shape,orm_box_mean_Delta_Theta_shape,orm_surgery_microquench_mean_Delta_Theta_shape,orm_shape_mean_Delta_Theta_NM,orm_ricci_mean_Delta_Theta_NM,orm_box_mean_Delta_Theta_NM,orm_surgery_microquench_mean_Delta_Theta_NM,orm_shape_mean_Delta_du_rms,orm_ricci_mean_Delta_du_rms,orm_box_mean_Delta_du_rms,orm_surgery_microquench_mean_Delta_du_rms,orm_shape_mean_Delta_U_overlap,orm_ricci_mean_Delta_U_overlap,orm_box_mean_Delta_U_overlap,orm_surgery_microquench_mean_Delta_U_overlap,has_surgery_stats,n_surgery_accepted,n_surgery_total,has_trajectory,classification
v18_poly_bound_0.03,7,0.06659123498847247,0.062202835155996415,0.11753862407793556,0.0923946305676762,0.11723612407545897,0.10123267691062145,0.4884514845031786,0.4557124781592568,0.13167070095550495,0.12434716913696518,0.0003273108548473683,0.09838871448894479,0.8750979021471266,0.12490209785287343,1.0,0.07013708546139119,0.10123267691062145,0.062202835155996415,0.0923946305676762,0.10123267691062143,0.10123267691062145,0.4557124781592568,1.7857574139680752,92.01843176688396,0.12434716913696518,0.4859125498782484,0.0009501403241434809,0.003985538216624146,0.09838871448894479,0.10289552322849316,3.965686035878875,0.2448451664113322,0.8299785017780221,1.0,0.8750979021471266,0.029167109275504432,0.025524076138689924,0.12490209785287343,53.0,0.0,200,88,0.03284867729812905,0.07013708546139119,0.00456292863138084,0.0983887144889448,3.9656860358788744,3.9656860358788744,True,460,200,200,40,20,460,460,1.0,-3.469446951953617e-19,-2.1941999162380202e-05,0.0,0.0,-0.00021742380415044164,-1.9093364499076645e-06,0.0,0.0,-0.00012061928431361239,-8.934063440630204e-06,0.0,0.0,0.0,-3.661765909269887e-05,0.0,0.0,0.0010842007776854083,1.5725940217695264e-05,0.0,0.0,True,0,20,True,diagonal_improved
v18_poly_bound_0.05,7,0.06659123498847247,0.05929984790268722,0.11753862407793556,0.08976286853870362,0.11723612407545897,0.0978360506291462,0.4884514845031786,0.4341300375812701,0.13167070095550495,0.11953785004690154,0.0003273108548473683,0.08844976643212489,0.8311379354580121,0.16886206454198793,1.0,0.06385610031393746,0.0978360506291462,0.05929984790268722,0.08976286853870362,0.09783605062914623,0.0978360506291462,0.4341300375812701,1.7116417683871434,84.85203922365274,0.11953785004690154,0.4618701940887332,0.0009429689500683531,0.003956080724796557,0.08844976643212489,0.10732025877628515,3.969631598974744,0.24416543748447392,0.8388706177813389,1.0,0.8311379354580121,0.03455123289994813,0.028716840379991834,0.16886206454198793,43.0,0.0,200,72,0.03222870430498215,0.06385610031393746,0.0003273108548473683,0.08844976643212489,3.960770570907699,3.969631598974744,True,460,200,200,40,20,460,460,1.0,1.179611963664229e-18,-0.0010937080628677875,-8.120876037572521e-06,4.8725256225434084e-05,-0.0004649760900806504,-9.248719820295903e-05,-4.66946010779238e-05,-0.00016628630823829968,-0.00026991708957600937,-0.0003913206430879612,-2.262018552815284e-05,-0.00022935397341528255,0.0,-0.0018199276362905123,-4.077886185146658e-05,0.0002446731711087995,0.0011213648892159172,0.0020373306801294766,2.1961014627499023e-05,-0.0010326887709130208,True,3,20,True,diagonal_improved
v18_poly_bound_0.15,7,0.06659123498847247,0.06659123498847247,0.11753862407793556,0.11753862407793556,0.11723612407545897,0.11723612407545897,0.4884514845031786,0.4884514845031786,0.13167070095550495,0.13167070095550495,0.0003273108548473683,0.0003273108548473683,,,0.0,0.03222870430498215,0.11723612407545897,0.06659123498847247,0.11753862407793556,0.1172361240754587,0.11723612407545897,0.4884514845031786,1.8962043323577022,103.60791231234171,0.13167070095550495,0.5226920455846832,0.000960953283674035,0.004028071187739207,0.0003273108548473683,0.0034967569364150464,3.9607705709076995,0.24607462277472664,0.8159460535087544,1.0,,0.0,0.0,,0.0,0.0,200,0,0.03222870430498215,0.03222870430498215,0.0003273108548473683,0.0003273108548473683,3.960770570907699,3.960770570907699,True,460,200,200,40,20,460,460,1.0,0.0,-0.021430750370920845,0.0,0.0016554748442849025,-0.001618840325446874,-0.0015629237249751707,0.0,-0.0001510799230660942,-0.0009466043698882904,-0.005594971553554318,0.0,-0.0002216477273548484,0.0,-0.03530766731585142,0.0,0.0041408336242474,0.001090429732994419,0.17481648120696952,0.0,-0.0438549541540636,True,20,20,True,cycle_rejected_blocks_accepted
v18_poly_bound_0.25,7,0.06659123498847247,0.06659123498847247,0.11753862407793556,0.11753862407793556,0.11723612407545897,0.11723612407545897,0.4884514845031786,0.4884514845031786,0.13167070095550495,0.13167070095550495,0.0003273108548473683,0.0003273108548473683,,,0.0,0.03222870430498215,0.11723612407545897,0.06659123498847247,0.11753862407793556,0.1172361240754587,0.11723612407545897,0.4884514845031786,1.8962043323577022,103.60791231234171,0.13167070095550495,0.5226920455846832,0.000960953283674035,0.004028071187739207,0.0003273108548473683,0.0034967569364150464,3.9607705709076995,0.24607462277472664,0.8159460535087544,1.0,,0.0,0.0,,0.0,0.0,200,0,0.03222870430498215,0.03222870430498215,0.0003273108548473683,0.0003273108548473683,3.960770570907699,3.960770570907699,True,460,200,200,40,20,460,460,1.0,0.0,-0.03493450565576822,0.0,0.0021128441251058103,-0.001618840325446874,-0.0022426246233202686,0.0,-0.0002962430054230664,-0.0009466043698882904,-0.007093684343352293,0.0,-0.000508324126024029,0.0,-0.057048222018207945,0.0,0.006268892869942699,0.001090429732994419,0.5431970496634133,0.0,-0.0934779020046932,True,20,20,True,cycle_rejected_blocks_accepted
v18_poly_bound_0.40,7,0.06659123498847247,0.06659123498847247,0.11753862407793556,0.11753862407793556,0.11723612407545897,0.11723612407545897,0.4884514845031786,0.4884514845031786,0.13167070095550495,0.13167070095550495,0.0003273108548473683,0.0003273108548473683,,,0.0,0.03222870430498215,0.11723612407545897,0.06659123498847247,0.11753862407793556,0.1172361240754587,0.11723612407545897,0.4884514845031786,1.8962043323577022,103.60791231234171,0.13167070095550495,0.5226920455846832,0.000960953283674035,0.004028071187739207,0.0003273108548473683,0.0034967569364150464,3.9607705709076995,0.24607462277472664,0.8159460535087544,1.0,,0.0,0.0,,0.0,0.0,200,0,0.03222870430498215,0.03222870430498215,0.0003273108548473683,0.0003273108548473683,3.960770570907699,3.960770570907699,True,460,200,200,40,20,460,460,1.0,0.0,-0.05373354308191497,0.0,0.0023986901841033916,-0.001618840325446874,-0.002752469839166591,0.0,-0.0005813190078400449,-0.0009466043698882904,-0.007307088835974862,0.0,-0.000888525217521835,0.0,-0.08711819397508873,0.0,0.013138613935773747,0.001090429732994419,1.6139493202050093,0.0,-0.19801087705606116,True,20,20,True,cycle_rejected_blocks_accepted
v18_poly_gamma_0,3,0.06659123498847247,0.06659123498847247,0.11753862407793556,0.11753862407793556,0.11723612407545896,0.11723612407545896,,,0.13167070095550495,0.13167070095550495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,0,0.03222870430498215,0.03222870430498215,0.0003273108548473683,0.0003273108548473683,3.960770570907699,3.960770570907699,True,412,180,180,35,17,411,411,1.0,0.0,-0.014437017100917406,0.0,0.0006596436546515289,-0.0028465288654917352,-0.0011408828496164425,0.0,-0.0009076548705715532,-0.0016219393197652173,-0.004650493805351541,0.0,-0.0014594529184388527,0.0,-0.02390146081630993,0.0,0.002365368024670536,0.0030771013110264885,0.05969310681743401,0.0,-0.019111516389154,True,18,18,True,cycle_rejected_blocks_accepted
v18_poly_gamma_0.02,7,0.06659123498847247,0.06659123498847247,0.11753862407793556,0.11753862407793556,0.11723612407545897,0.11723612407545897,0.4884514845031786,0.4884514845031786,0.13167070095550495,0.13167070095550495,0.0003273108548473683,0.0003273108548473683,,,0.0,0.03222870430498215,0.11723612407545897,0.06659123498847247,0.11753862407793556,0.1172361240754587,0.11723612407545897,0.4884514845031786,1.8962043323577022,103.60791231234171,0.13167070095550495,0.5226920455846832,0.000960953283674035,0.004028071187739207,0.0003273108548473683,0.0034967569364150464,3.9607705709076995,0.24607462277472664,0.8159460535087544,1.0,,0.0,0.0,,0.0,0.0,200,0,0.03222870430498215,0.03222870430498215,0.0003273108548473683,0.0003273108548473683,3.960770570907699,3.960770570907699,True,460,200,200,40,20,460,460,1.0,0.0,-0.014437017100917446,0.0,0.0006596436546515566,-0.002901083750210517,-0.0011425214393591535,0.0,-0.0009640420723656255,-0.0016509345481159343,-0.0046689645031002674,0.0,-0.0015048653913340704,0.0,-0.023901460816309932,0.0,0.002365368024670536,0.003129977607114068,0.05903600198383071,0.0,-0.019392939199660404,True,20,20,True,cycle_rejected_blocks_accepted
v18_poly_gamma_0.05,7,0.06659123498847247,0.06659123498847247,0.11753862407793556,0.11753862407793556,0.11723612407545897,0.11723612407545897,0.4884514845031786,0.4884514845031786,0.13167070095550495,0.13167070095550495,0.0003273108548473683,0.0003273108548473683,,,0.0,0.03222870430498215,0.11723612407545897,0.06659123498847247,0.11753862407793556,0.1172361240754587,0.11723612407545897,0.4884514845031786,1.8962043323577022,103.60791231234171,0.13167070095550495,0.5226920455846832,0.000960953283674035,0.004028071187739207,0.0003273108548473683,0.0034967569364150464,3.9607705709076995,0.24607462277472664,0.8159460535087544,1.0,,0.0,0.0,,0.0,0.0,200,0,0.03222870430498215,0.03222870430498215,0.0003273108548473683,0.0003273108548473683,3.960770570907699,3.960770570907699,True,460,200,200,40,20,460,460,1.0,-1.3877787807814457e-17,-0.014437017100917408,0.0,0.000659643654651501,-0.002939406119726082,-0.0011442015783961063,0.0,-0.001052034873079838,-0.0016700926620739215,-0.004683116755985095,0.0,-0.0015764646586302472,0.0,-0.023901460816309932,0.0,0.002365368024670536,0.003131645087842646,0.05844620894712104,0.0,-0.01989253420215032,True,20,20,True,cycle_rejected_blocks_accepted
v18_poly_gamma_0.10,7,0.06659123498847247,0.06659123498847247,0.11753862407793556,0.11753862407793556,0.11723612407545897,0.11723612407545897,0.4884514845031786,0.4884514845031786,0.13167070095550495,0.13167070095550495,0.0003273108548473683,0.0003273108548473683,,,0.0,0.03222870430498215,0.11723612407545897,0.06659123498847247,0.11753862407793556,0.1172361240754587,0.11723612407545897,0.4884514845031786,1.8962043323577022,103.60791231234171,0.13167070095550495,0.5226920455846832,0.000960953283674035,0.004028071187739207,0.0003273108548473683,0.0034967569364150464,3.9607705709076995,0.24607462277472664,0.8159460535087544,1.0,,0.0,0.0,,0.0,0.0,200,0,0.03222870430498215,0.03222870430498215,0.0003273108548473683,0.0003273108548473683,3.960770570907699,3.960770570907699,True,460,200,200,40,20,460,460,1.0,-2.775557561562892e-17,-0.014437017100917429,0.0,0.0006596436546515427,-0.003008242362919203,-0.0011469853759777243,0.0,-0.001197839800297376,-0.0017037489154365787,-0.0047087012014926655,0.0,-0.0016944712888423696,0.0,-0.023901460816309932,0.0,0.002365368024670536,0.0031604013182144407,0.057446113522698336,0.0,-0.020622698949431546,True,20,20,True,cycle_rejected_blocks_accepted
v18_poly_gamma_0.25,7,0.06659123498847247,0.06659123498847247,0.11753862407793556,0.11753862407793556,0.11723612407545897,0.11723612407545897,0.4884514845031786,0.4884514845031786,0.13167070095550495,0.13167070095550495,0.0003273108548473683,0.0003273108548473683,,,0.0,0.03222870430498215,0.11723612407545897,0.06659123498847247,0.11753862407793556,0.1172361240754587,0.11723612407545897,0.4884514845031786,1.8962043323577022,103.60791231234171,0.13167070095550495,0.5226920455846832,0.000960953283674035,0.004028071187739207,0.0003273108548473683,0.0034967569364150464,3.9607705709076995,0.24607462277472664,0.8159460535087544,1.0,,0.0,0.0,,0.0,0.0,200,0,0.03222870430498215,0.03222870430498215,0.0003273108548473683,0.0003273108548473683,3.960770570907699,3.960770570907699,True,460,200,200,40,20,460,460,1.0,0.0,-0.014437017100917408,0.0,0.0006596436546515289,-0.0031252057954221923,-0.00115291709106341,0.0,-0.0016425542523126053,-0.0017524681775150652,-0.0047590048810689095,0.0,-0.002050818806457452,0.0,-0.023901460816309932,0.0,0.002365368024670536,0.0031865884788096206,0.05541761589254689,0.0,-0.02250755288362604,True,20,20,True,cycle_rejected_blocks_accepted
