cycle,F_total,Theta_NM,Theta_sum,Theta_shape,B_rms,S_pred,du_rms,du_max,U_overlap,max_overlap,radius_ratio,Lx,Ly,shear,accepted_cycle,ran_box,ran_surgery
1,3.55627764926214618e-02,1.09510292256181516e-01,4.51604846331064222e-02,1.13007958088973195e-01,3.29404475606502600e-01,5.50870879649632172e+01,9.63630336639457047e-02,3.46640815896883059e-01,1.59634198748923484e-01,1.11778150036122126e-01,3.99951637658154846e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,0,0
2,1.92607020863444778e-02,8.94021710574390421e-02,4.51604846175458277e-02,8.75868560015115871e-02,3.29404475492097892e-01,5.50870879442641268e+01,9.63630336421264777e-02,3.46640815813931635e-01,3.75663605398766365e-02,7.56252876227994086e-02,3.99951637662866810e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,0,0
3,1.87374455481663441e-02,8.80949973590354624e-02,4.51604846175458208e-02,8.56042660232431696e-02,3.29404475492097892e-01,5.50870879442641268e+01,9.63630336421264777e-02,3.46640815813931635e-01,4.08359090903675850e-02,7.72421906777700507e-02,3.99951637662866810e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,0,0
4,1.83955838608893113e-02,8.71406464502097466e-02,4.51604846175458138e-02,8.41228725356268775e-02,3.29404475492097892e-01,5.50870879442641268e+01,9.63630336421264777e-02,3.46640815813931635e-01,4.40559824541413292e-02,8.05777768892135260e-02,3.99951637662866810e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,0,0
5,1.79303455294705164e-02,8.60201759766682367e-02,4.51604846175458416e-02,8.25143695519079123e-02,3.29404475492097892e-01,5.50870879442641268e+01,9.63630336421264777e-02,3.46640815813931635e-01,4.54726758696253688e-02,7.82840698416735759e-02,3.99951637662866810e+00,3.27205016441127867e+01,3.29093456937561015e+01,0.00000000000000000e+00,1,1,0
6,1.77080576206938428e-02,8.52944492333847087e-02,4.51604846175458069e-02,8.13418342229214469e-02,3.29404475492097892e-01,5.50870879442641268e+01,9.63630336421264777e-02,3.46640815813931635e-01,4.87120052060756453e-02,8.12886316214878057e-02,3.99951637662866810e+00,3.27205016441127867e+01,3.29093456937561015e+01,0.00000000000000000e+00,1,0,0
7,1.75199867608378454e-02,8.46254125587640321e-02,4.51604846175458208e-02,8.02546856699438704e-02,3.29404475492097892e-01,5.50870879442641268e+01,9.63630336421264777e-02,3.46640815813931635e-01,5.19777649196653119e-02,8.42849650737047540e-02,3.99951637662866810e+00,3.27205016441127867e+01,3.29093456937561015e+01,0.00000000000000000e+00,1,0,0
8,1.73569175861831917e-02,8.39995650826900059e-02,4.51604846175458555e-02,7.92292447628175911e-02,3.29404475492097892e-01,5.50870879442641268e+01,9.63630336421264777e-02,3.46640815813931635e-01,5.52580352783735435e-02,8.70199165412803843e-02,3.99951637662866810e+00,3.27205016441127867e+01,3.29093456937561015e+01,0.00000000000000000e+00,1,0,0
9,1.72162501314252446e-02,8.34131909692292922e-02,4.51604846175458069e-02,7.82646038753578716e-02,3.29404475492097892e-01,5.50870879442641268e+01,9.63630336421264777e-02,3.46640815813931635e-01,5.85216864200057557e-02,8.95187224071434251e-02,3.99951637662866810e+00,3.27205016441127867e+01,3.29093456937561015e+01,0.00000000000000000e+00,1,0,0
10,1.70419926180241585e-02,8.27484821918471752e-02,4.51604846175458138e-02,7.72006445159754418e-02,3.29404475492097892e-01,5.50870879446064308e+01,9.63630336423167561e-02,3.46640815814952485e-01,6.16528843953709910e-02,9.21936290874876274e-02,3.99951637662866810e+00,3.26724585912605505e+01,3.29577370760599919e+01,0.00000000000000000e+00,1,1,1
11,1.69354124304291892e-02,8.22082086023054187e-02,4.51604846175458208e-02,7.63168841494715061e-02,3.29404475492097892e-01,5.50870879446064308e+01,9.63630336423167561e-02,3.46640815814952485e-01,6.49481889393977302e-02,9.44498230378161274e-02,3.99951637662866810e+00,3.26724585912605505e+01,3.29577370760599919e+01,0.00000000000000000e+00,1,0,0
12,1.68424723852451282e-02,8.16946367335237289e-02,4.51604846175458208e-02,7.54696375682171600e-02,3.29404475492097892e-01,5.50870879446064308e+01,9.63630336423167561e-02,3.46640815814952485e-01,6.82334124999484926e-02,9.65429683657590409e-02,3.99951637662866810e+00,3.26724585912605505e+01,3.29577370760599919e+01,0.00000000000000000e+00,1,0,0
13,1.67618583517403913e-02,8.12035052391272549e-02,4.51604846175458347e-02,7.46583748981823891e-02,3.29404475492097892e-01,5.50870879446064308e+01,9.63630336423167561e-02,3.46640815814952485e-01,7.14928619194738907e-02,9.84871060957688282e-02,3.99951637662866810e+00,3.26724585912605505e+01,3.29577370760599919e+01,0.00000000000000000e+00,1,0,0
14,1.66909180623420542e-02,8.07264298373526201e-02,4.51604846175458485e-02,7.38680973852103989e-02,3.29404475492097892e-01,5.50870879446064308e+01,9.63630336423167561e-02,3.46640815814952485e-01,7.47691413765720486e-02,1.00321877192738551e-01,3.99951637662866810e+00,3.26724585912605505e+01,3.29577370760599919e+01,0.00000000000000000e+00,1,0,0
