cycle,block_name,Delta_Theta_sum,Delta_Theta_shape,Delta_Theta_NM,Delta_B_rms,Delta_du_rms,Delta_U_overlap,accepted
1,shape,-1.38777878078144568e-17,-2.93940611972608179e-03,-1.67009266207392149e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.13164508784264696e-03,1
1,ricci,-2.14307503553660336e-02,-1.59125986923627782e-03,-6.05573915720353240e-03,-1.59047008896676001e-01,-3.53076672915592499e-02,1.56175242806233461e-01,1
2,shape,0.00000000000000000e+00,-2.54211020859867465e-02,-2.01081211919422465e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.22067838229210537e-01,1
2,ricci,-1.55605944796022300e-11,-1.47486189927548139e-12,-6.80022704813154633e-12,-1.14404707929338656e-10,-2.18192269807460093e-11,2.01636901620005915e-11,1
3,shape,-6.93889390390722838e-18,-1.98258997826841754e-03,-1.30717369840357978e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.26954855049094856e-03,1
3,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
4,shape,-6.93889390390722838e-18,-1.48139348761629208e-03,-9.54350908825715716e-04,0.00000000000000000e+00,0.00000000000000000e+00,3.22007336377374415e-03,1
4,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
5,shape,0.00000000000000000e+00,-1.26353362578777995e-03,-7.94335727072950637e-04,0.00000000000000000e+00,0.00000000000000000e+00,3.21097269630078036e-03,1
5,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
5,box,2.77555756156289135e-17,-3.44969357931185217e-04,-3.26134746468559333e-04,0.00000000000000000e+00,0.00000000000000000e+00,-1.79427928081674071e-03,1
6,shape,-3.46944695195361419e-17,-1.17253532898646540e-03,-7.25726743283527931e-04,0.00000000000000000e+00,0.00000000000000000e+00,3.23932933645027649e-03,1
6,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
7,shape,1.38777878078144568e-17,-1.08714855297757651e-03,-6.69036674620676619e-04,0.00000000000000000e+00,0.00000000000000000e+00,3.26575971358966655e-03,1
7,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
8,shape,3.46944695195361419e-17,-1.02544090712627933e-03,-6.25847476074026243e-04,0.00000000000000000e+00,0.00000000000000000e+00,3.28027035870823158e-03,1
8,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
9,shape,-4.85722573273505986e-17,-9.64640887459719543e-04,-5.86374113460713664e-04,0.00000000000000000e+00,0.00000000000000000e+00,3.26365114163221226e-03,1
9,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
10,shape,1.38777878078144568e-17,-9.16872011331379411e-04,-5.56395927156796977e-04,0.00000000000000000e+00,0.00000000000000000e+00,3.28497621604396939e-03,1
10,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
10,box,-6.93889390390722838e-18,-1.47087348051050393e-04,-1.08312850225320001e-04,0.00000000000000000e+00,1.90278348632944017e-13,-1.53778240678734135e-04,1
10,surgery_microquench,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
11,shape,6.93889390390722838e-18,-8.83760366503935635e-04,-5.40273589541756527e-04,0.00000000000000000e+00,0.00000000000000000e+00,3.29530454402673922e-03,1
11,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
12,shape,0.00000000000000000e+00,-8.47246581254346154e-04,-5.13571868781689811e-04,0.00000000000000000e+00,0.00000000000000000e+00,3.28522356055076237e-03,1
