attempt,accepted,Theta_sum_old,Theta_shape_old,Theta_sum_after_instant,Theta_shape_after_instant,Theta_sum_after_quench,Theta_shape_after_quench,F_old,F_after_quench,U_old,U_after_quench,flipped_edge_i,flipped_edge_j
0,0,4.51604846175458138e-02,7.72006445159754418e-02,4.68159594618309319e-02,8.10330480153436672e-02,4.68159594618309111e-02,8.06447617606887990e-02,1.70419926180241585e-02,1.83496300489106104e-02,6.16528843953709910e-02,6.30148157940461223e-02,160,219
0,0,4.51604846175458069e-02,6.93601936445647632e-02,4.68159594618309111e-02,7.33090334028784069e-02,4.68159594618309388e-02,7.29969830160472760e-02,1.63924185327684810e-02,1.76480688399486552e-02,9.46255247410768968e-02,9.59843144145333949e-02,160,219
0,0,4.51604846175458138e-02,6.28126996850678493e-02,4.68159594618309041e-02,6.68341519959115976e-02,4.68159594618309319e-02,6.65509748277624130e-02,1.62905550208103413e-02,1.74754597620787495e-02,1.27204303329314039e-01,1.28513224013920374e-01,160,219
0,0,4.51604846175458138e-02,5.68726499296282675e-02,4.68159594618309180e-02,6.09581619801071242e-02,4.68159594618309249e-02,6.06782066162837030e-02,1.64889083007849560e-02,1.76010443587200187e-02,1.59608846197145493e-01,1.60912415641027845e-01,160,219
0,0,4.51604846175458138e-02,5.18155996796179630e-02,4.68159594618309041e-02,5.59500530480801020e-02,4.68159594618309388e-02,5.56535405952203466e-02,1.68946904343497961e-02,1.79388998870020633e-02,1.89710166462827096e-01,1.91050653302051732e-01,160,219
0,0,4.51604846175458347e-02,4.69995055144750706e-02,4.68159594618309388e-02,5.11720232664446550e-02,4.68159594618309180e-02,5.08756275190844903e-02,1.76024093811061634e-02,1.85755300006121768e-02,2.22900659460084472e-01,2.24142739787182521e-01,160,219
0,0,4.51604846175458208e-02,4.35924974187501466e-02,4.68159594618309249e-02,4.77808276892141767e-02,4.68159594618309249e-02,4.75293500572517499e-02,1.83528796494583993e-02,1.92675594183116007e-02,2.50255972323186582e-01,2.51154942485004973e-01,160,219
0,0,4.51604846175458555e-02,4.06824768600178577e-02,4.68159594618309596e-02,4.48672763429178376e-02,4.68159594618309249e-02,4.46624273526074408e-02,1.92157349777764899e-02,2.00669333185133358e-02,2.77322755199062354e-01,2.77714688482553262e-01,160,219
0,0,4.51604846175458208e-02,3.86229132969083400e-02,4.68159594618309249e-02,4.28012632519908301e-02,4.68159594618309041e-02,4.26209202788443223e-02,1.98129334426030701e-02,2.06175238171845965e-02,2.95800104172609601e-01,2.95854081320431894e-01,160,219
0,0,4.51604846175458069e-02,3.66619003673400307e-02,4.68159594618309111e-02,4.08414619929017772e-02,4.68159594618309249e-02,4.06836967433037155e-02,2.03627794567641310e-02,2.11272633240860291e-02,3.12702404175660031e-01,3.12504058047040623e-01,160,219
0,0,4.51604846175458347e-02,3.52705773078000814e-02,4.68159594618309388e-02,3.94500269526662575e-02,4.68159594618309041e-02,3.93009569301992351e-02,2.06629671253708395e-02,2.13992101263699649e-02,3.22709410144564834e-01,3.22366912695588370e-01,160,219
0,0,4.51604846175458347e-02,3.44962141216859502e-02,4.68159594618309249e-02,3.86723634913583303e-02,4.68159594618309249e-02,3.85268930452368694e-02,2.07650100858233176e-02,2.14857649819409566e-02,3.26911262749466303e-01,3.26507758923418323e-01,160,219
0,0,4.51604846175458208e-02,3.40778101109848325e-02,4.68159594618309111e-02,3.82515549454044979e-02,4.68159594618309249e-02,3.81074694174540277e-02,2.08091791152235812e-02,2.15214877855250605e-02,3.28942309208226147e-01,3.28507905487777474e-01,160,219
0,0,4.51604846175458208e-02,3.38154818552175579e-02,4.68159594618309249e-02,3.79876879924613831e-02,4.68159594618309527e-02,3.78442590329898729e-02,2.08385155297922189e-02,2.15457226849041367e-02,3.30241450653990631e-01,3.29792254821205277e-01,160,219
0,0,4.51604846175458069e-02,3.36596232353611746e-02,4.68159594618309249e-02,3.78313071352162147e-02,4.68159594618309249e-02,3.76883615416287038e-02,2.08585295750392669e-02,2.15628007510203709e-02,3.31062394629094869e-01,3.30604829986070825e-01,160,219
0,0,4.51604846175458208e-02,3.35394621578292348e-02,4.68159594618309111e-02,3.77111093228490665e-02,4.68159594618309180e-02,3.75683626170268750e-02,2.08773388842996947e-02,2.15794477543359009e-02,3.31761569394703637e-01,3.31298999091105162e-01,160,219
0,0,4.51604846175458069e-02,3.34547766859452159e-02,4.68159594618309111e-02,3.76266247690064323e-02,4.68159594618309041e-02,3.74841153979069489e-02,2.08948087335383489e-02,2.15954801566553278e-02,3.32337903928676570e-01,3.31872565639926398e-01,160,219
0,0,4.51604846175458277e-02,3.33977126154006640e-02,4.68159594618309319e-02,3.75699079099706540e-02,4.68159594618309388e-02,3.74276095838588160e-02,2.09136459401871762e-02,2.16134471920050517e-02,3.32867243068275920e-01,3.32401224266994644e-01,160,219
0,0,4.51604846175458347e-02,3.33610839588165536e-02,4.68159594618309249e-02,3.75336601920485471e-02,4.68159594618309111e-02,3.73915008080328778e-02,2.09313450109799362e-02,2.16306197536442757e-02,3.33319035885478565e-01,3.32852740559164584e-01,160,219
0,0,4.51604846175458000e-02,3.33353965972766966e-02,4.68159594618308902e-02,3.75083575519362528e-02,4.68159594618309041e-02,3.73662759093402186e-02,2.09488106159493072e-02,2.16477495472222267e-02,3.33736878249245195e-01,3.33270766724491074e-01,160,219
